,jeux,note,avis
0,test,18,"Trackmania reste le jeux fun par excellence , gameplay a couper le souffle . De tés beau graphismes , un map gigantesque ou on se retrouve souvent dans le désert . La prise en main est progressive mais bonne, les terrains sont originaux, on peut changer sa voiture de couleur... Il manque peut ètre un mode histoire mais a par sa , ce jeu est trés bien ."
1,test,15,"Enfin ça me rapelle pourquoi j'aime tant les jeux vidéo ! Certes le jeu n'est pas parfait, mais c'est surtout très fun et les gros concepteurs de jeux-vidéo devraient se servir de Trackmania comme modèle !"
2,test,20,"Dans ma modeste vie de gamer, Trackmania est tout simplement le jeu-vidéo qui m'a le plus marqué, encore plus que mes premiers jeux MS-DOS du début/milieu des années 90."
3,test,14,"Assez bon jeu, un peu répétitif et lassant car je préfère le genre de nfs qui est un genre qui déboite tout et qui permet de faire une vrai course et pas un vulgaire contre la montre cependant ce jeu est développé par des français et juste pour ça je mettrai une bonne note"
4,test,15,"Assez bon jeu, un peu répétitif et lassant car je préfère le genre de burnout qui est un genre qui déboite tout et qui permet de faire une vrai course et pas un vulgaire contre la montre cependant ce jeu est développé par des français et juste pour ça je mettrai une bonne note."
5,test,15,"Assez bon jeu, un peu répétitif et lassant car je préfère le genre de burnout qui est un genre qui déboite tout et qui permet de faire une vrai course et pas un vulgaire contre la montre cependant ce jeu est développé par des français et juste pour ça je mettrai une bonne note."
6,test,16,"Très bon jeu que j'avais eu ""gratuitement"" avec un magazine de jeu vidéo. La physique du véhicule est parfaite, le jeu n'est pas lourd et convient même au config les plus modeste et pourtant il est beau graphiquement. Le mode online est prépondérant et très bien fichu (classement, vote, etc) il est possible de faire ses propre circuit et ses propre serveur. Un très bon jeu gratuit!"
7,test,18,"Très bon jeu, je trouve, quand je l'ai trouvé dans une vieille boutique qui vendait des jeux rétros je savais qu'il allait être très bon, puisqu'il a laissé un très bon héritage à ses successeurs. Bon graphisme en effet, tout aussi pour la bande musique qui malheureusement manque de variations dans les thèmes. Très bonne durée de vie, la difficulté se gardue au fur et à mesure qu'on avance dans le jeu je trouve."
8,test,15,"Assez bon jeu, un peu répétitif et lassant car je préfère le genre de burnout qui est un genre qui déboite tout et qui permet de faire une vrai course et pas un vulgaire contre la montre cependant ce jeu est développé par des français et juste pour ça je mettrai une bonne note."
9,test,11,"Je n'ai pas trop aimé TrackMania perso... Je trouve le jeu trop simple, et pas assez exploité. On conduit une voiture et puis voila quoi, y'a rien de spécial. Faut aller le plus vite possible, les virages sont dur a prendre... C'est tout."
10,test,16,"Tres bon petit jeu surtout pour l'epoque où il sortait vraiment de l'ordinaire ! Et les suites comme trackmania Canyon sont de mieux en mieux ! Vraiment un jeu qui me rappel bien de souvenirs  ! Je constate qu'il n'y a pas beaucoup de joueur sur ce jeu , ce qui est vraiment dommage ! "
11,test,20,"Trackmania reste le jeux fun par excellence,gameplay a couper le souffle. Mod en ligne ultra complet et j'en passe. Un de mes premiers de course en ligne, dont je suis tombé fan des les premières illustration dans pc-impact il y a plus de 8 ans."
12,test,17,"Cet opus de la série Trackmania comprend trois environnements, à savoir Desert, Rallye et Snow, qui offrent tous une jouabilité différente. On trouve rarement ça dans un jeu de course, et c'est vraiment plaisant. Bien sûr les cascades sont dignes de la série, encore quelque chose qui fait de Trackmania un jeu d'exception à ne manquer sous aucun prétexte."
13,test,17,"Ce jeu est génial, les graphismes sont époustouflants, la qualité du son est renversante, le mode ""Crée circuit"" est extrèmement bien concu, on peut créer des circuits gigantesques contairement à la DS ou on devait se contenter d'un petit circuit.La présence de plusieurs environnements ajoute de la diversité au jeu, et le nombre de circuits rend la durée de jeu assez longue"
14,test,13,"Très sympa.
Les graphismes sont assez bons, la prise en main est progressive mais bonne, les terrains sont originaux, on peut changer sa voiture de couleur...
Malgré un manque de scénario, le jeu a une bonne durée de vie et ne se laisse pas terminer du jour au lendemain."
15,test,17,"Pour le prix et la qualité qui correspond, il faut l'acheter.
C'est avec celui-là qu'il faut commencer. Pas besoin d'une bête de PC pour qu'il soit nickel et fluide. Le multijoueur est génial et on adore trouver des nouveaux circuits faits par d'autres joueurs. Je ne met pas 20/20 car il y a quelques petits bugs si on creuse."
16,test,14,"Nadeo est une nouvelle équipe française de développeurs et pour être franc, on m'aurait demandé il y a 2 ans de çà, de quoi parle t'on? "" D'une marque de voiture ? "", idem pour Focus (Responsable : Cédric Lagarrigue) l'éditeur, Nadeo (PDG : Florent Castelnerac) composée d'environ 10 membres produit Trackmania un jeu de course pas comme les autres, rappelez vous dans notre enfance il y avait les petits circuits de voiture majorette avec des tremplins, des sauts. Trackmania reprend le principe, mais à cette époque Nadeo n'avait pas d'éditeur pour créer les copies et vendre le jeu, heureusement Focus vient pour les sauver et c'est ainsi que TM fut lancé sur le marché."
17,test,16,"J'adore. Les graphismes sont bons, les circuits sont supers bien fait, l'editeur de niveau est franchement bien complet en facile à prendre en main, la diversité des niveaux est bonne, des circuits sont absolument énormes, et enfin, voilà quoi, une bonne pioche. "
18,test,19,"Trackmania est le jeu qui m'a fait apprécier les jeux de courses sur PC. En effet la possibilité de créations de circuits est géniale, la prise de main du véhicule est simple et efficace pour passer de bons moments."
19,test,19,"Excellent jeu de voiture (si ce n'est le meilleur), pas très réaliste mais la jouabilité est extraordinaire: on peut peindre ses voitures, créer ses propres circuits, etc.Le problème de ce jeu, c'est que le volant marche mais pas le pédalier..."
20,test,20,"Ce jeu est une bombe !!
J'y joue tous les jour sans jamais me lassé.
Plusieurs environnement pour plusieurs goûts différents, des skin téléchargeable, map, mod, de tout.
Ce jeu n'est jamais finis et c'en est bien la son gros avantage "
21,test,17,Super jeu qui réussi parfaitement son pari de rassembler joueurs occasionels et professionels du volant.Personnelement mon mode préferé est le mode construction pour créer des circuits fous et plein de pièges...genre trou au millieu de la piste!
22,test,19,"Le graphisme est super, la jouabilité est cool, le mode puzzle permet de s'amuser à construire ses propres circuits.
Ce jeu est très bien réalisé graphiquement, malgré quelques défauts, il faut télécharger des patches. Le mode en réseau à l'air sympa, je ne l'ai pas encore essayé personnnellement. Un conseil, achetez ce jeu, il est vraiment bien !!"
23,test,19,"Franchement, ce super jeu n'est pas à rater ! Un concept certes très simpliste, des graphismes qu'il faut l'avouer  sont médiocres, peu de varietés dans les voitures ou les circuits, mais à part ces quelques détails, un jeu délirant, de quoi s'amuser des heures à battre un record, construire soi-même des circuits exceptionels,... Un jeu très bon à posseder (30€, pour ceux qui ont la chance d'avoir les moyens)."
24,test,15,"Franchement j'aime bien ce jeu, car je le trouve trop délirant mais au bout d'un moment, sa simplicité me lasse. En ce qui concerne la jouabilité elle est remarquable car il m'a juste fallu un circuit pour pouvoir jouer correctement. Il y a aussi un détail qui m'a perturbé la première fois que j'y ai joué, c'est que la caisse qu'on conduit tourne brutalement et ça ne m'a pas trop plu mais au fur et à mesure qu'on avance dans le jeu ce détail n'a plus d'importance. En clair c'est un jeu à essayer absolument mais à acheter ça reste à voir..."
25,test,18,"Tout simplement génial !! Super décor détails excellents, super son, jouabilité excellente et prise en main facile. Ce jeu est excellent en réseau (sur internet ou réseau local) le jeu est long c'est excellent ! UN jeu qui déchire !!!!"
26,test,20,"Franchement ce jeu mérite la plus haute note malgré que quand j'y joue le jeu marche au ralenti ! je ne sais pas pourquoi ! la maniabilité est facile à prendre en mains (c'est sûr qu'au ralenti), les graphismes sont forts corrects et le mode éditeur me rapelle mon enfance quand je jouais avec des cubes ! Bref j'imagine que TrackMania à vitesse normale mérite bien cette note ! et en plus le jeu ne coûte que 30 euros !"
27,test,19,"Sans aucun doute la révélation des jeux vidéos de l'année 2004 ! Il est impossible de passer à côté de TM sans s'arréter et se mettre à y jouer jours et nuits ! De plus moi qui ai adopté ce jeu et fais même partie d'une team qui s'appelle ""TMF"". Enfin bon tout ça pour vous dire que même après PLUS de 300 HEURES passées devant TM je ne me lasse pas d'un poil ! De plus avec tous les tournois solo et online organisés les différents sites de TM plus Focus qui reste à l'écoute de ses joueurs et qui sort de nouveaux environements et des patchs, je peux vous dire que de se lasser de TM requière de la folie pur ! En parlant des sites de TM vous retrouverez plus de 1000 personnes sur le forum du site officiel de TM : http://www.trackmania-lejeu.com ainsi que sur http://www.trackmania-ligue.com/ et surtout sur http://www.mm2france.net/trackmania/index.php où vous trouverez en plus ici plus de 900 maps créées par des joueurs du monde entier, plus de 350 skins pour les 3 différentes voitures de TM plein d'utilitaires etc... Il y a aussi le jeu online où vous trouverez toujours une dizaine de serveurs pour vous éclater à plusieurs ! En conclusion TrackMania est pour moi et pour plein d'autres le meilleur jeu de l'année 2004 voir 2005 ! Courez l'acheter !"
28,test,20,"Maniabilité parfaite, graphisme simple et concept dévastateur voilà la recette d'un jeu réussi. Les musiques sont hélas gâchées mais les parties en multijoueur et réseau sont folles.
Pouvoir construire ses propres circuits est génial et facile d'accès. PS : Pour les dévellopeurs de jeux vidéos, ne cherchez pas de midi à quatorze heure car un jeu simple et fun est toujours une réussite. BYE !"
29,test,20,C'est un jeu ultra fun rien que pour finir les courses et les puzzles il faut quand même quelques jours les modes multijoueurs sont trop cool on peut créer des circuits de ouf ! le patch power up a rajouté des tonnes de choses encore plus fun et tout je vous le conseille à tous !
30,test,20,"La perfection du fun et des vrais jeux pour jouer ! Une conception très correcte, une durée de vie infinie, un mode réseau très prenant !Parfait pour tous ceux qui sont nostalgiques de l'époque où les jeux videos étaient là pour jouer et non pas là pour nous montrer la plus belle modélisation."
31,test,19,"J'adore ce jeu, d'accord les graphismes sont pas mieux que ceux de commando 3, mais le jeu reste fun, les voitures sont bien à conduire, l'editeur est super, je me marre en jouant (que de belles cascades ;)), j'aime bien le principe du jeu, les courses sont prenantes, ça rattrape quand même les graphismes (pas si moches que ça d'ailleurs) et le manque de collisions (enfin ça nous arrange des fois ) ;)"
32,test,18,"Si ce n'est la bande son, ce jeu est quasi parfait et impossible de passer une journée sans créer une map ou faire une petite partie en réseau. le principe d'arcade est très immersif et le système de jeu très accessible avec 3 environnements aux conduites, blocs et sensations distincts assurent aux amateurs une durée de vie quasi infinie "
33,test,17,"D'habitude, je me lasse vite des jeux de voitures mais avec ce titre j'ai passé des heures de jeux exceptionnelles ! En solo ou en multi, jouer sur ses propres circuits est un pur bonheur ! La conception du jeu est très bien pensée sur le plan : maniabilité, graphismes (des décors épurés mais très jolis pour de meilleures performances pour les petites configurations) et la bande son est d'assez bonne qualité. Rien à redire! C'est du BON travail ! Points négatifs : pas d'interactions entre les joueurs en multi (la voiture passe à travers de celle de son adversaire), seulement trois voitures sont présentes et des pièces que l'on aimerait parfois plus maniables sont incontrôlables."
34,test,18,"Etant au départ un amateur de jeux vidéos de type loufoque-arcade-fun et non axés sur la simulation pure, Trackmania ne pouvait que me satisfaire. Etrangement, les voitures m'ont rappellé celles de Destruction Derby, mais l'apparence s'arrête là. A chaque partie multijoueur réseau, on découvre le circuit uploadé en quelques secondes d'un trackermania, ce qui fait qu'on ne se lasse jamais d'accélérer, de se prendre des virages affreusement serrés et bien souvent, de se casser la g....  La détection des collisions entre voitures, ou la vulnérabilité des voitures auraient pu être des options de parties, mais le jeu fondé sur la simplicité et le fun, on le pardonne. Nadeo fera mieux pour Trackmania II ^^ !"
35,test,18,"Carrément génial, enfin un jeu simple et efficace, peu de voiture et c'est très bien, tout est basé sur la conduite et les réflexes. Les parties sur Internet un vrai régal, création des circuits : un jeu d'enfant qui laisse cour à beaucoup de fantaisie. Pour tout age (j'ai 47 ans et je crois bien que je suis retombé en enfance). Merci NADEO"
36,test,18,Trés bon jeu. Niveau graphique je donne 16/20 ou plus même c'est pas si pire que ça les graphiques... Niveau jouabilité et durée de vie c'est excellent : on peut jouer jusqu'à 4 sur le meme PC. Et en plus il y a le mode multijoueurs. C'est trés interessant de fabriquer les circuits les plus fous de nos rêves...
37,test,12,"Ce jeu n'est vraiment pas extraordinaire. Bande son médiocre, graphismes lamentables. Bon, j'avoue que personne ne dit le contraire. Mais tout le monde adore. Pourquoi?
Son fun serait soi disant énorme. Pourtant, j'y ai joué un après-midi et malgré quelques parties de délire, on se lasse assez vite : tout le monde sait bien conduire au bout de deux parties, et ensuite on ne progresse plus : c'est forcément un frein à la durée de vie.
Quant à l'éditeur de circuits, il est marrant, mais bon (pour les connaisseurs, ca ressemble pas mal à Motocross Madness). Pour dire vrai, ce mode de construction de circuits relève plus du bonus que de l'essence du jeu.
Que retenir de tout ca ? Un jeu sans ambitions, fun mais dont on se lasse vite. A 45 euros, passez votre chemin..."
38,test,20,"Trackmania est incroyablement bon ! Ca fait du bien de voir un concept original de jeu de voitures ! C'est génial et en plus c'est français ! Merci à jv.com pour leur dossier qui m'a permis de découvrir cette bombe ! 
Trackmania c'est fun, super prenant et enfin un jeu de voitures nous offre la possibilité de construire nos propres circuits ! Les types de conduite sont bien réglés et les blocs différents super drôles ! Le solo est super sympa, bonne durée de vie pour les médailles et le multi incroyable ! Je joue avec des potes en LAN en salle et ça déchire ! ca faisait longtemps qu'on avait pas eu un jeu frais pour le multi.
Bref ... vous aurez compris... je conseille Trackmania à tous les joueurs sur PC qui aiment les jeux de caisses et le multi entre potes !"
39,test,19,"Enfin ça me rapelle pourquoi j'aimais tant les jeux vidéo ! Certes le jeu n'est pas parfait, mais c'est surtout très fun et les gros concepteurs de jeux vidéo devraient se servir de Trackmania comme modèle !"
40,test,12,"Ce jeu est fun. Les voitures sont très agréables et marrantes à conduire, mais comme l'a dit le testeur :
- il n'y a pas de gestion des dégats et pas de collision contre les concurrents (les voitures se traversent comme des fantômes),
Et ça, c'est nul. Si on avait pu se pousser et casser les voitures, ca aurait été 100 fois plus drôle.
Domage. Ce jeu aurait pu être excellent. Au final, c'est juste un jeu fun, rigolo 10 minutes, avec des graphismes pas top."
41,test,18,"Il est excellent, le seul gros défaut que je lui trouve c'est qu'il n'y a pas de gestion de collision entre les voitures, sinon pour le reste ce n'est que du fun!!! De plus du fait qu'il a des graphismes dépouillés (certain y trouvent un désavantage) cela lui permet de pouvoir tourner sur de petites configs!!! L'éditeur de circuits est vraiment simple!!! Un conseil achetez-le!!! ;)"
42,test,20,"Trackmania est l'un de ces jeux qui peuvent devenir un titre de légende grâce à un concept captivant, un gameplay simple et efficace et une durée de vie immense ! Pour devenir accro, il suffit de trois choses : avoir un PC, une connexion honnête et aimer la conduite. Vous les remplissez ? Alors il vous faut ce jeu !!!
De tous les titres actuellement sur le marché, TrackMania est sans aucun doute le plus fun de l'année. Et terriblement addictif même ! Le fun à l'état pur !!!"
43,test,15,"Ca me rappelle ""4D Sport Driving"", un très ancien jeu de l'epoque des PC 286-486, c'était en 3D (d'époque bien sûr ;)) et il fallait construire les parcours avec obstacles, ponts, looping, etc... Je pense sincèrement que Trackmania s'y est fortement inspiré ! Et c'est tant mieux !"
44,test,15,"Trackmania est un très bon jeu de courses folles, vous passerez de très bonnes heures de jeu, surtout en réseau ! Des graphismes moyens mais une jouabilité très simple ! Bravo pour ce jeu varié et dont on ne se lasse pas !"
45,test,18,"SUPER FUN MAIS....Après avoir joué puis rejoué puis rejoué à la démo je suis accro !!!!
Par contre je m'attendais à un prix beaucoup plus bas pour un jeu à la conception aussi simple que Trackmania ! 45€ pour déconner.... c'est l'abus !!!"
46,test,17,"Ce jeu est sans doute un des meilleurs !!! Les graphismes des voitures c'est pas encore tout à fait ça, mais c'est bien quand même ! Le son du menu n'est pas super mais à part ces 2 défauts, c'est vraiment un excellent jeu !!! on fait des courses et des puzzles (vous devez faire votre propre itinéraire pour relier le départ à la ligne d'arrivée sans oublier des checkpoints !), pour gagner des points pour acheter plus de blocs dans un éditeur de circuits très facile à manipuler ! vous pouvez donc faire votre propre circuit ! c'est pour ça que ce jeu a une durée de vie quasi ilimitée !! ah ! un autre petit défaut : on ne peut pas faire des routes en diagonales ce qui est assez gênant. Un pur jeu !! A bloc à bloc, à bloc !!"
47,test,19,"Un des meilleurs jeux auquel j'ai joué depuis bien longtemps. Pas de marque pour les voitures, pas 36 modèles, en 20 secondes on joue.
Pas de perte de temps et du fun immédiat.
Certains Puzzles sont bien ""méchants"" (le D3 par exemple), mais se laissent passer.
En plus le jeu n'est franchement pas cher pour la durée offerte...On est loin des ""Revenge of the Shoalin Monk XII"" qui se finissent en six heures pour bien plus cher. Merci Nadéo et merci Focus !! "
48,test,18,"N'étant ni fan des jeux de bagnoles, ni particulièrement attiré par les joutes en réseaux, ce jeu me plaît pourtant beaucoup !
Halte à la fuite en avant des graphismes qui nous donnent des productions certes belles mais dont parfois le qualificatif de jeu ne paraît pas évident tant les concepts ludiques pataugent...Avec ce jeu on retrouve enfin le plaisir simple de jouer à partir de principes finalement assez basiques mais très réussis."
49,test,18,"Trackmania reste le jeux fun par excellence , gameplay a couper le souffle . De tés beau graphismes , un map gigantesque ou on se retrouve souvent dans le désert . La prise en main est progressive mais bonne, les terrains sont originaux, on peut changer sa voiture de couleur... Il manque peut ètre un mode histoire mais a par sa , ce jeu est trés bien ."
50,test,15,"Enfin ça me rapelle pourquoi j'aime tant les jeux vidéo ! Certes le jeu n'est pas parfait, mais c'est surtout très fun et les gros concepteurs de jeux-vidéo devraient se servir de Trackmania comme modèle !"
51,test,20,"Dans ma modeste vie de gamer, Trackmania est tout simplement le jeu-vidéo qui m'a le plus marqué, encore plus que mes premiers jeux MS-DOS du début/milieu des années 90."
52,test,14,"Assez bon jeu, un peu répétitif et lassant car je préfère le genre de nfs qui est un genre qui déboite tout et qui permet de faire une vrai course et pas un vulgaire contre la montre cependant ce jeu est développé par des français et juste pour ça je mettrai une bonne note"
53,test,15,"Assez bon jeu, un peu répétitif et lassant car je préfère le genre de burnout qui est un genre qui déboite tout et qui permet de faire une vrai course et pas un vulgaire contre la montre cependant ce jeu est développé par des français et juste pour ça je mettrai une bonne note."
54,test,15,"Assez bon jeu, un peu répétitif et lassant car je préfère le genre de burnout qui est un genre qui déboite tout et qui permet de faire une vrai course et pas un vulgaire contre la montre cependant ce jeu est développé par des français et juste pour ça je mettrai une bonne note."
55,test,16,"Très bon jeu que j'avais eu ""gratuitement"" avec un magazine de jeu vidéo. La physique du véhicule est parfaite, le jeu n'est pas lourd et convient même au config les plus modeste et pourtant il est beau graphiquement. Le mode online est prépondérant et très bien fichu (classement, vote, etc) il est possible de faire ses propre circuit et ses propre serveur. Un très bon jeu gratuit!"
56,test,18,"Très bon jeu, je trouve, quand je l'ai trouvé dans une vieille boutique qui vendait des jeux rétros je savais qu'il allait être très bon, puisqu'il a laissé un très bon héritage à ses successeurs. Bon graphisme en effet, tout aussi pour la bande musique qui malheureusement manque de variations dans les thèmes. Très bonne durée de vie, la difficulté se gardue au fur et à mesure qu'on avance dans le jeu je trouve."
57,test,15,"Assez bon jeu, un peu répétitif et lassant car je préfère le genre de burnout qui est un genre qui déboite tout et qui permet de faire une vrai course et pas un vulgaire contre la montre cependant ce jeu est développé par des français et juste pour ça je mettrai une bonne note."
58,test,11,"Je n'ai pas trop aimé TrackMania perso... Je trouve le jeu trop simple, et pas assez exploité. On conduit une voiture et puis voila quoi, y'a rien de spécial. Faut aller le plus vite possible, les virages sont dur a prendre... C'est tout."
59,test,16,"Tres bon petit jeu surtout pour l'epoque où il sortait vraiment de l'ordinaire ! Et les suites comme trackmania Canyon sont de mieux en mieux ! Vraiment un jeu qui me rappel bien de souvenirs  ! Je constate qu'il n'y a pas beaucoup de joueur sur ce jeu , ce qui est vraiment dommage ! "
60,test,20,"Trackmania reste le jeux fun par excellence,gameplay a couper le souffle. Mod en ligne ultra complet et j'en passe. Un de mes premiers de course en ligne, dont je suis tombé fan des les premières illustration dans pc-impact il y a plus de 8 ans."
61,test,17,"Cet opus de la série Trackmania comprend trois environnements, à savoir Desert, Rallye et Snow, qui offrent tous une jouabilité différente. On trouve rarement ça dans un jeu de course, et c'est vraiment plaisant. Bien sûr les cascades sont dignes de la série, encore quelque chose qui fait de Trackmania un jeu d'exception à ne manquer sous aucun prétexte."
